Visitor #,Timestamp,Visitor Id,Repeat Visitor,NumbeOfVisit,Visitor Name(Premium),Referrer,Keywords,Entrance Page,Visit Duration(seconds)(Premium),Visit Depth(Premium),Conversions(Premium),Click Path(Premium),IP,Organization,Country,Region,City,Postal Code,Screen Size,Browser,OS,User Agent
216,Sep 7 2020 02:00:27 AM,X1UVqoNRPOuyIoxR2aMGiAAAAAY,no,1,,Direct Access,,https://www.helldog-s.com/map,13,1,,https://www.helldog-s.com/map (13 seconds),1.233.37.127,SK Broadband,South Korea,Seoul,Songpa-dong,5670,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 9.0.0"
215,Sep 7 2020 12:52:55 AM,X1UF1iuFt95Mq7D3aA7tnAAAAAE,no,1,,Direct Access,,https://www.helldog-s.com,17,2,,https://www.helldog-s.com (5 seconds) > https://www.helldog-s.com/body (13 seconds),175.223.11.175,Korea Telecom,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,2; iOS 13_6; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 241452311)"
214,Sep 7 2020 12:16:22 AM,X1T9RU9kDysCyxwi@VCdRgAAAAE,no,1,,https://www.youtube.com,,https://www.helldog-s.com/body,154,7,,https://www.helldog-s.com/body (26 seconds) > https://www.helldog-s.com/person (19 seconds) > https://www.helldog-s.com/contact (8 seconds) > https://www.helldog-s.com/grapher (26 seconds) > https://www.helldog-s.com/body (50 seconds) > https://www.helldog-s.com/review-board (24 seconds) > https://www.helldog-s.com/contact (3 seconds),223.38.46.000,SK Telecom,South Korea,Seoul,Seoul,2878,384x854,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G986N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
213,Sep 6 2020 11:59:46 PM,X1T5YRXhaXgwTvePDHypjgAAAAA,no,1,,Direct Access,,https://www.helldog-s.com/model-and-actor,37,2,,https://www.helldog-s.com/model-and-actor (25 seconds) > https://www.helldog-s.com/musician (13 seconds),180.226.124.179,Lg Powercomm,South Korea,Seoul,Gwanak-gu,8841,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone10,6; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 241452311)"
212,Sep 6 2020 11:38:11 PM,X1T0UkcUCTobFuLrgEcSxQAAAAI,no,1,,https://ad.search.naver.com/search.naver?where=ad&query=연예인+화보+스튜디오&x=0&y=0,연예인 화보 스튜디오,https://www.helldog-s.com/model-and-actor?NaPm=ct=ker7aegw|ci=0AW0000SX5ftcbu9Pf26|tr=sa|hk=e368eb462aa2e0b200566eb889ae695972c895d4,105,5,,https://www.helldog-s.com/model-and-actor?NaPm=ct=ker7aegw|ci=0AW0000SX5ftcbu9Pf26|tr=sa|hk=e368eb462aa2e0b200566eb889ae695972c895d4 (25 seconds) > https://www.helldog-s.com/body?NaPm=ct=ker7aegw|ci=0AW0000SX5ftcbu9Pf26|tr=sa|hk=e368eb462aa2e0b200566eb889ae695972c895d4 (25 seconds) > https://www.helldog-s.com/musician?NaPm=ct=ker7aegw|ci=0AW0000SX5ftcbu9Pf26|tr=sa|hk=e368eb462aa2e0b200566eb889ae695972c895d4 (25 seconds) > https://www.helldog-s.com/model-and-actor?NaPm=ct=ker7aegw|ci=0AW0000SX5ftcbu9Pf26|tr=sa|hk=e368eb462aa2e0b200566eb889ae695972c895d4 (19 seconds) > https://www.helldog-s.com/dog?NaPm=ct=ker7aegw|ci=0AW0000SX5ftcbu9Pf26|tr=sa|hk=e368eb462aa2e0b200566eb889ae695972c895d4 (13 seconds),49.171.177.62,Lg Powercomm,South Korea,Gyeonggi-do,Gwangju,12761,1680x1050,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36"
211,Sep 6 2020 08:31:04 PM,X1TIeEys5pDwLnduF40hqQAAAAE,no,1,,https://m.blog.naver.com/okheemam/222004907240,,https://www.helldog-s.com/body,3,1,,https://www.helldog-s.com/body (3 seconds),112.170.198.140,Korea Telecom,South Korea,Gyeonggi-do,Siheung-si,14971,360x800,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G981N/KSU1BTH2) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
210,Sep 6 2020 08:12:02 PM,X1TEAfB8PH59xP8Pc8WC6wAAAAE,no,1,,https://m.ad.search.naver.com/search.naver?where=m_expd&query=여자바디프로필스튜디오&referenceId=U1gvCsp0JxGssMX2gCVssssssMN-480447,여자바디프로필스튜디오,https://www.helldog-s.com/body,5,1,,https://www.helldog-s.com/body (5 seconds),119.67.168.51,Lg Powercomm,South Korea,Gyeongsangbuk-do,Gyeongsan-si,38632,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G977N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
209,Sep 6 2020 07:54:26 PM,X1S-4StOsfrI7E8XM7oNAQAAAAE,no,1,,Direct Access,,https://www.helldog-s.com,5,1,,https://www.helldog-s.com (5 seconds),218.239.193.83,SK Broadband,South Korea,Incheon,Incheon,21539,414x896,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone12,5; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1242x2688; 241452311)"
208,Sep 6 2020 06:25:51 PM,X1SrH@shgFct-qTgW-RegQAAAAA,no,1,,linkedin.android,,https://www.helldog-s.com,119,2,,https://www.helldog-s.com (33 seconds) > https://www.helldog-s.com/product (86 seconds),183.98.187.198,Korea Telecom,South Korea,Seoul,Gangnam-gu,6333,412x823,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; LGM-V300K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
207,Sep 6 2020 05:54:54 PM,X1Sj3g6mqRyrAeHLIuarRgAAAAM,no,1,,https://naver.com,,https://www.helldog-s.com/body,33,1,,https://www.helldog-s.com/body (33 seconds),218.38.40.84,SK Broadband,South Korea,Seoul,Gangseo-gu,7618,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1"
206,Sep 6 2020 05:53:29 PM,X1SjiEgb-teiB11nLYQEPgAAAAA,no,1,,https://link.inpock.co.kr/helldog_s,,https://www.helldog-s.com,70,4,,https://www.helldog-s.com (18 seconds) > https://www.helldog-s.com/video-fashion (9 seconds) > https://www.helldog-s.com (2 seconds) > https://www.helldog-s.com/lookbook (41 seconds),61.74.23.66,Korea Telecom,South Korea,Seoul,Jungnang-gu,2150,414x896,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 155.0.0.26.107 (iPhone11,6; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1242x2688; 238897012)"
205,Sep 6 2020 04:30:59 PM,X1SQMoJOAad4p5bsItYzYwAAAAM,no,1,,Direct Access,,https://www.helldog-s.com,13,1,,https://www.helldog-s.com (13 seconds),118.221.76.177,SK Broadband,South Korea,Incheon,Yangch'on-gu,8015,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone12,3; iOS 13_6_1; ko-Kore_KR; ko; scale=3.00; 1125x2436; 241452311)"
204,Sep 6 2020 02:05:22 PM,X1RuEXWFnsWKp-unsudffAAAAAI,no,1,,Direct Access,,https://www.helldog-s.com/dog,40,3,,https://www.helldog-s.com/dog (2 seconds) > https://www.helldog-s.com/animalcompany (19 seconds) > https://www.helldog-s.com/dog (19 seconds),223.62.162.185,SK Telecom,South Korea,Seoul,Seoul,2878,414x896,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,6; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1242x2688; 241452311)"
203,Sep 6 2020 01:16:36 PM,X1Riox5rYnquXNWOhg6GyQAAAAM,no,1,,https://l.instagram.com,,https://www.helldog-s.com/grapher,62,1,,https://www.helldog-s.com/grapher (62 seconds),2001:2d8:6779:df26:dcd9:42f7:a3c4:f838,SK Telecom,South Korea,Gyeonggi-do,Suwon,16258,412x883,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N986N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36 Instagram 157.0.0.37.120 Android (29/10; 420dpi; 1080x2123; samsung; SM-N986N; c2q; qcom; ko_KR"
202,Sep 6 2020 12:55:46 PM,X1RdwpxhkoC4Hh1Pt@v@7QAAAAI,no,1,,Direct Access,,https://www.helldog-s.com/dog,42,2,,https://www.helldog-s.com/dog (9 seconds) > https://www.helldog-s.com/cat (33 seconds),14.6.186.75,Lg Powercomm,South Korea,Seoul,Jungnang-gu,2099,1829x1029,MSIE,Windows,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
201,Sep 6 2020 12:35:59 PM,X1RZHh5DBqaGHKxbmlWvJwAAAAE,no,1,,linkedin.android,,https://www.helldog-s.com/grapher,18,1,,https://www.helldog-s.com/grapher (18 seconds),2001:e60:c723:246:8158:3efd:63e8:5c6f,Korea Telecom,South Korea,Busan,Busan,48943,339x753,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G981N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
200,Sep 6 2020 12:12:54 PM,X1RTtmIXlqUzAr6cxcSuyAAAAAA,no,1,,https://link.inpock.co.kr/helldog_s,,https://www.helldog-s.com/model,9,1,,https://www.helldog-s.com/model (9 seconds),211.36.157.192,LG Uplus,South Korea,Seoul,Dongjak-gu,6970,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,2; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 241452311)"
199,Sep 6 2020 11:31:06 AM,X1RJ6uxpH4-mnpPxqNBpkwAAAAQ,no,1,,https://ad.search.naver.com/search.naver?where=ad&sm=svc_nrs&query=남자바디프로필&referenceId=U1eb1wp0J1sssZgJZ3dssssstJl-331688&pagingIndex=2,남자바디프로필,https://www.helldog-s.com/body,42,1,,https://www.helldog-s.com/body (42 seconds),122.34.223.196,Lg Powercomm,South Korea,Gyeonggi-do,Gwangju,12761,1920x1080,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Whale/2.8.105.22 Safari/537.36"
198,Sep 6 2020 10:50:03 AM,X1RASgY8l0UUtf5LLSOSCgAAAAI,no,1,,https://m.blog.naver.com,,https://www.helldog-s.com/dog,40,2,,https://www.helldog-s.com/dog (8 seconds) > https://www.helldog-s.com/cat (32 seconds),220.74.104.237,Korea Telecom,South Korea,Gyeonggi-do,Siheung-si,14971,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1"
197,Sep 6 2020 10:09:06 AM,X08749bX3pGpllTnHS2HggAAAAM,yes,3,,https://l.instagram.com,,https://www.helldog-s.com/body,41,1,,https://www.helldog-s.com/body (41 seconds),121.159.130.42,Korea Telecom,South Korea,Chungcheongnam-do,Tangjin,31763,374x824,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-F907N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36 Instagram 157.0.0.37.120 Android (29/10; 360dpi; 840x1852; samsung; SM-F907N; winner; qcom; ko_"
196,Sep 6 2020 04:22:51 AM,X1Pli7DHB439M8GF5nl2@gAAAAE,no,1,,Direct Access,,https://www.helldog-s.com,69,5,,https://www.helldog-s.com (18 seconds) > https://www.helldog-s.com/body (9 seconds) > https://www.helldog-s.com/seminude (6 seconds) > https://www.helldog-s.com/lookbook (18 seconds) > https://www.helldog-s.com/artwork-creative-h-and-m (18 seconds),124.63.188.253,Lg Powercomm,South Korea,Gyeonggi-do,Seongnam-si,13332,414x896,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone12,1; iOS 13_5_1; ko-Kore_KR; ko-KR; scale=2.00; 828x1792; 241452311)"
195,Sep 6 2020 04:21:27 AM,X1PlNjhEkLR99PVdRIb9qQAAAAU,no,1,,Direct Access,,https://www.helldog-s.com,29,4,,https://www.helldog-s.com (8 seconds) > https://www.helldog-s.com/artwork-creative-h-and-m (8 seconds) > https://www.helldog-s.com (5 seconds) > https://www.helldog-s.com/artwork-creative-h-and-m (8 seconds),58.150.30.214,LG DACOM Corporation,South Korea,Seoul,Yeongdeungpo-dong,7247,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,2; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 241452311)"
